"period","subarea","spawner","sex","lengthgrp","N","meanweight","NA","meancondfact","SoP"
"February","6.a","N","U",25.25,25.5042719655542,0.139,838.289948813051,NA,3.54509380321204
"February","6.a","N","U",26.25,76.5128158966627,0.138333333333333,743.342938577931,NA,10.584272865705
"February","6.a","N","U",27.25,93.7657057557141,0.1534,737.610818933133,NA,14.3836592629265
"February","6.a","N","U",28.25,75.0125646045713,0.18225,787.286776498032,NA,13.6710398991831
"February","6.a","N","U",29.25,37.5062823022856,0.193,751.78085393346,NA,7.23871248434113
"February","6.a","N","U",30.25,56.2594234534285,0.213,750.723628849992,NA,11.9832571955803
"February","6.a","N","U",31.25,93.7657057557141,0.2734,874.715553475947,NA,25.6355439536122
"February","6.a","N","U",34.25,18.7531411511428,0.335,815.807177276726,NA,6.28230228563284
"February","6.a","N","U",35.25,18.7531411511428,0.356,795.728547041024,NA,6.67611824980684
"February","7.e","N","U",18.25,37.6255417338441,0.0441621621621622,694.924288788423,NA,1.66162527548922
"February","7.e","N","U",19.25,17.2874110669014,0.052,701.293008985317,NA,0.89894537547887
"February","7.e","N","U",20.25,34.5748221338027,0.0625,725.468289781054,NA,2.16092638336267
"February","7.e","N","U",21.25,51.8622332007041,0.0663333333333333,667.446472218379,NA,3.44019480231337
"February","7.e","N","U",22.25,86.4370553345068,0.0802,704.087791495199,NA,6.93225183782744
"February","7.e","N","U",23.25,17.2874110669014,0.087,670.371690280574,NA,1.50400476282042
"February","7.e","N","U",24.25,107.329862292366,0.109939707149009,746.854343569998,NA,11.7998136287663
"February","7.e","N","U",25.25,196.170514887512,0.117737983034873,710.545306515182,NA,23.0967207537681
"February","7.e","N","U",26.25,256.445338500451,0.129520547945205,696.260287735129,NA,33.2149407605721
"February","7.e","N","U",27.25,55.4676290916621,0.139,668.369646882044,NA,7.71000044374103
"February","7.e","N","U",28.25,18.4892096972207,0.204,881.242811553352,NA,3.77179877823302
"February","7.e","N","U",29.25,18.4892096972207,0.206,802.418942540377,NA,3.80877719762746
"February","8.a","N","U",32.25,3.28795533439138,0.273,795.266272189349,NA,0.897611806288847
"February","8.a","N","U",33.25,25.6397286172251,0.290633785450062,777.577915723233,NA,7.4517713859364
"February","8.a","N","U",34.25,27.0624015984521,0.322523364485981,788.613604700835,NA,8.72825681460358
"February","8.a","N","U",35.25,43.8815577320696,0.339440922190202,759.294908510775,NA,14.8951964237163
"February","8.a","N","U",36.25,72.4614771771639,0.391246073298429,796.023481407411,NA,28.3502684109691
"February","8.a","N","U",37.25,10.2432454648347,0.420950617283951,781.274074074074,NA,4.31190050141319
"February","8.a","N","U",38.25,44.6403166553907,0.465167138810198,818.998845647522,NA,20.7652083741693
"February","8.a","N","U",39.25,17.198535595278,0.509272058823529,829.68419672007,NA,8.75873363135698
"February","8.a","N","U",40.25,3.28795533439138,0.649,976.966398904112,NA,2.13388301202001
"February","8.a","N","U",41.25,6.9552901304433,0.533,745.732239452803,NA,3.70716963952628
"January","7.d","N","U",19.25,4.70690368083472,0.06,809.184241136904,NA,0.282414220850083
"January","7.d","N","U",20.25,26.8534889483519,0.0715895131086142,832.423043360203,NA,1.92242819908007
"January","7.d","N","U",21.25,42.7845475604079,0.0778551951104842,781.482552898906,NA,3.33099929802935
"January","7.d","N","U",22.25,53.3910051959071,0.091202439445552,800.156770527141,NA,4.86938991831687
"January","7.d","N","U",23.25,82.1269203670429,0.113976660645583,870.98784882513,NA,9.36055213254124
"January","7.d","N","U",24.25,111.506514674019,0.129403177919921,872.532971627021,NA,14.4292973575924
"January","7.d","N","U",25.25,107.819607748807,0.143880973850316,857.493486072873,NA,15.5131901630574
"January","7.d","N","U",26.25,86.3653128018686,0.166125691438775,889.931437231037,NA,14.3474973055365
"January","7.d","N","U",27.25,91.2364887621627,0.189046124308732,902.913431839052,NA,17.2479045960241
"January","7.d","N","U",28.25,35.5951209624378,0.20199924652696,868.643343250915,NA,7.19018761444843
"January","7.d","N","U",29.25,28.1265991141617,0.231631663637176,900.665490521318,NA,6.51501094526921
"January","7.d","N","U",30.25,13.2557672037183,0.242855842185129,865.270661421,NA,3.21924050806902
"January","7.d","N","U",31.25,2.05172724549206,0.277,886.233388123033,NA,0.5683284470013
"January","7.d","N","U",32.25,4.24425930194925,0.28357345971564,825.853436504324,NA,1.20355929418404
"July","7.b","N","U",25.25,11.5267131577431,0.172333333333333,1039.31871351642,NA,1.98643690085106
"July","7.b","N","U",26.25,40.8072143975272,0.176318181818182,953.807505524695,NA,7.19505384763673
"July","7.b","N","U",27.25,182.108818796757,0.185259730811204,893.678222603842,NA,33.7374307486335
"July","7.b","N","U",28.25,83.2043202650879,0.199703025477707,873.467139686705,NA,16.6161544897541
"July","7.b","N","U",29.25,77.7721910758067,0.214668654173765,831.633224428983,NA,16.6952515903883
"July","7.b","N","U",30.25,31.201620099408,0.230233545647558,810.640538194827,NA,7.18365962543482
"July","7.b","N","U",31.25,11.5267131577431,0.249666666666667,798.783162098859,NA,2.87783605171652
"July","7.b","N","U",32.25,23.1196717934042,0.2960888252149,817.114246700046,NA,6.8454764606631
"July","7.b","N","U",33.25,8.0157028280857,0.320785123966942,851.168528043676,NA,2.57131822538964
"July","7.b","N","U",35.25,8.34693021767602,0.359,802.434124684628,NA,2.99654794814569
"July","7.b","N","U",36.25,3.84223771924769,0.337,693.028839356635,NA,1.29483411138647
"July","7.c","N","U",32.25,11.8357202035744,0.294,856.440600819299,NA,3.47970173985087
"July","7.c","N","U",33.25,35.5071606107232,0.306666666666667,815.703172708523,NA,10.8888625872884
"July","7.c","N","U",34.25,59.1786010178719,0.3232,787.071282674143,NA,19.1265238489762
"July","7.c","N","U",35.25,165.700082850041,0.351214285714286,785.03155413337,NA,58.1962362409753
"July","7.c","N","U",36.25,11.8357202035744,0.34,699.198235552688,NA,4.02414486921529
"July","7.c","N","U",37.25,11.8357202035744,0.362,686.459259259259,NA,4.28453071369393
"July","7.j","N","U",26.25,54.4681628179536,0.177674802297725,959.297885532002,NA,9.67762006020022
"July","7.j","N","U",27.25,130.709700476597,0.192142721432367,928.723447851923,NA,25.1149175671828
"July","7.j","N","U",28.25,147.561143497772,0.207239053541375,899.776222991777,NA,30.5804317179613
"July","7.j","N","U",29.25,50.5003112827233,0.22483648209374,875.189062881086,NA,11.3543123334463
"July","7.j","N","U",30.25,24.2687157018661,0.241074926287796,854.216472263798,NA,5.85057884892683
"July","7.j","N","U",31.25,25.8443512301771,0.260999619978285,838.8241192474,NA,6.74536584966153
"July","7.j","N","U",32.25,14.9587161042635,0.28260399568541,835.46654528903,NA,4.22739294138855
"July","7.j","N","U",33.25,5.99386908009319,0.303775280898876,817.47644047528,NA,1.8207892634764
"July","7.j","N","U",34.25,6.74941648169201,0.332686934830059,805.25444762041,NA,2.2454426811856
"July","7.j","N","U",35.25,4.1923410138854,0.375,838.197205450517,NA,1.57212788020703
"July","7.j","N","U",36.25,2.29750950811156,0.353,725.932285735585,NA,0.811020856363382
"March","7.e","N","U",19.25,50.7326389925095,0.041,552.942564776884,NA,2.08003819869289
"March","7.e","N","U",20.25,116.386642394581,0.0593333333333333,688.71122976548,NA,6.90560744874511
"March","7.e","N","U",21.25,116.386642394581,0.0703333333333333,707.694500693859,NA,8.1858605150855
"March","7.e","N","U",22.25,38.7955474648602,0.081,711.111111111111,NA,3.14243934465367
"March","7.e","N","U",24.25,116.386642394581,0.103,700.388443590681,NA,11.9878241666418
"March","7.e","N","U",25.25,193.977737324301,0.1118,674.250476815101,NA,21.6867110328568
"March","7.e","N","U",26.25,232.773284789161,0.128666666666667,691.398492267666,NA,29.9501626428721
"March","7.e","N","U",27.25,116.386642394581,0.138,663.561232156273,NA,16.0613566504521
"March","7.h","N","U",21.25,39.8347045902982,0.072,724.464512558643,NA,2.86809873050147
"March","7.h","N","U",22.25,119.504113770895,0.0873333333333333,766.712391403749,NA,10.4366926026581
"March","7.h","N","U",23.25,151.520792226648,0.0932113022113022,718.530576076592,NA,14.123450355534
"March","7.h","N","U",24.25,263.206879862998,0.1047171145686,712.04539410814,NA,27.5622649938573
"March","7.h","N","U",25.25,223.3721752727,0.116333333333333,701.59038881476,NA,25.9856297233908
"March","7.h","N","U",26.25,74.4573917575667,0.122,655.574736191621,NA,9.08380179442314
"March","7.h","N","U",27.25,74.4573917575667,0.1335,641.923365890308,NA,9.94006179963516
"November","4.b","N","U",18.25,63.9795265515035,0.051,805.480425641127,NA,3.26295585412668
"November","4.b","N","U",20.25,31.9897632757518,0.07,812.52448455478,NA,2.23928342930262
"November","4.b","N","U",21.25,63.9795265515035,0.083,835.146590866213,NA,5.31030070377479
"November","4.b","N","U",22.25,31.9897632757518,0.086,755.006858710562,NA,2.75111964171465
"November","4.b","N","U",23.25,159.948816378759,0.1066,821.397956136887,NA,17.0505438259757
"November","4.b","N","U",24.25,95.9692898272553,0.132666666666667,902.118448378935,NA,12.7319257837492
"November","4.b","N","U",25.25,63.9795265515035,0.147,886.536852341859,NA,9.40499040307102
"November","4.b","N","U",26.25,159.948816378759,0.1626,873.741410694735,NA,26.0076775431862
"November","4.b","N","U",27.25,95.9692898272553,0.165666666666667,796.594039569246,NA,15.8989123480486
"November","4.b","N","U",28.25,31.9897632757518,0.167,721.409556516715,NA,5.34229046705054
"November","4.c","N","U",18.25,55.1942329936843,0.0557615876814233,882.192847130758,NA,3.07771806258623
"November","4.c","N","U",19.25,141.320551095882,0.0602540075986916,811.564194787307,NA,8.51512955958258
"November","4.c","N","U",20.25,120.222531846151,0.0707637983329751,832.423043360203,NA,8.50740299864069
"November","4.c","N","U",21.25,244.401660116652,0.0815720277255639,823.072182323569,NA,19.9363389952094
"November","4.c","N","U",22.25,114.267538388891,0.0953238183782697,839.871970736168,NA,10.8924180759146
"November","4.c","N","U",23.25,125.25297954968,0.111983288632144,876.766915120652,NA,14.0262405609478
"November","4.c","N","U",24.25,141.225799512426,0.126545277111373,854.785896032716,NA,17.8714579345751
"November","4.c","N","U",25.25,72.7835723954067,0.135683932305022,819.527264107403,NA,9.87556130981603
"November","4.c","N","U",26.25,27.3573662780952,0.165496221662469,889.324744587814,NA,4.52754075366099
"November","4.c","N","U",27.25,6.89102425140937,0.172,827.047332832457,NA,1.18525617124241
"November","4.c","N","U",28.25,6.89102425140937,0.23,993.558071849368,NA,1.58493557782416
"October","6.a","N","U",28.25,40.0572413873999,0.214777452415813,940.64030497913,NA,8.60339225599099
"October","6.a","N","U",29.25,12.6681758999683,0.229,892.009406998768,NA,2.90101228109275
"October","6.a","N","U",30.25,42.403199887394,0.237459197786999,882.305861136688,NA,10.0690298288623
"October","6.a","N","U",31.25,28.0342040749299,0.27015690376569,867.836846672825,NA,7.57363377241857
"October","6.a","N","U",32.25,22.4625526374438,0.32723498694517,970.778334091944,NA,7.35053311906912
"October","6.a","N","U",33.25,43.4002322498915,0.315571621621622,834.677137812829,NA,13.6958816698533
"October","6.a","N","U",34.25,100.817566537248,0.34317277486911,838.53613345956,NA,34.5978440641385
"October","6.a","N","U",35.25,12.6681758999683,0.398,889.606634051482,NA,5.0419340081874
"October","6.a","N","U",36.25,23.8114787749405,0.426967980295566,909.643194684722,NA,10.1667390003871
"September","4.b","N","U",25.25,59.2061448960271,0.170234552332913,1025.24669998718,NA,10.0789315717328
"September","4.b","N","U",26.25,160.073108016497,0.188875,1014.93178932945,NA,30.2338082766159
"September","4.b","N","U",27.25,140.063969514435,0.209,1004.95867768595,NA,29.2733696285169
"September","4.b","N","U",28.25,60.0274155061864,0.224666666666667,970.519044096339,NA,13.4861593503899
"September","4.b","N","U",29.25,20.0091385020621,0.255,993.285584212602,NA,5.10233031802585
"September","4.b","N","U",31.25,20.0091385020621,0.283,905.42977920151,NA,5.66258619608358
"September","4.b","N","U",33.25,20.0091385020621,0.308,819.249708242038,NA,6.16281465863514
