"1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4032972228664,15.3415668614593,16.3492073719217,14.6484196808994,16.3332070305753,18.161910014995,14.8451299751454,18.0838084273098,16.4182002434087,16.3649557288898,16.4401791501274,15.5733684755166,14.9469126694554,14.4032972228664,17.3477362020328,14.8802212949567,15.8033849061186,16.0668023565708,15.8436588052566,16.5498780673839,17.7215154910669,15.0964444034263,16.8456442582356,17.1260535713583,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9469126694554,16.4401791501274,17.1187275312662,16.911088166488,17.2654981037959,18.1436088506126,16.5627814722198,16.8789014799921,17.5507963848924,16.503358051749,18.1155133571596,17.0926552909565,16.5235607590665,16.0015618347024,16.4687525225715,16.9065530113226,16.785925023534,17.0059869083108,16.1080453151048,16.5433633863627,16.9851961386417,17.9929700268969,16.855259716935,17.7093695927647,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.7895915839863,16.2134058307626,16.4616853553484,17.4182873130248,16.955343175492,17.1896792672385,17.2967506473,17.014183675515,17.0018631911269,17.1405465786609,17.4993774702547,17.8896524128689,16.9200972364303,17.404569676796,17.1862487321417,16.0127351353005,18.0935646022552,16.826131444012,16.8695117396422,15.9788335836248,16.1280459818115,16.5818296671905,17.9522758360703,16.3957273875566,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1476544531999,16.2920489580818,16.5168717709157,17.4739308045935,16.6834094600084,16.9977223984609,16.6368894443735,16.4473993981009,17.3906612467499,16.503358051749,17.2998228463369,17.5068868922768,18.2331456201055,16.6368894443735,16.9334604642425,16.5433633863627,17.410079332607,17.5068868922768,16.911088166488,17.2233524823451,15.5733684755166,16.0978929436408,16.1378982782545,17.3028856358675,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.308716010567,16.0772736564381,16.4965320866786,16.8504635446715,16.955343175492,17.3210679549507,15.9317660727668,15.7025802069967,17.2266582704796,17.151280134304,16.6127918927944,18.0291185410132,18.0990971198249,17.4073282992351,16.6719807641848,17.0423545524817,16.4107652649211,17.0620015498654,17.1150442858499,16.4401791501274,15.7895915839863,15.8567308868239,15.6072700271923,15.3195879547405,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3957273875566,16.3412392022725,16.3332070305753,16.308716010567,17.0812699687313,16.8835634930979,16.1950566920944,15.6873127348659,16.2491239133647,16.8600329956877,16.8011924956648,16.9510047738934,17.2559286527797,17.4018034233031,16.6545890214729,16.5818296671905,16.0347140420193,16.8504635446715,15.6072700271923,15.7756053420115,15.1505116246966,15.5559767328048,15.0392859895864,13.4588356140255,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2491239133647,15.8949520996441,16.1280459818115,16.4545678875795,16.8408016337598,16.6368894443735,16.5691712703185,15.6400598500153,15.8033849061186,16.2042733471994,15.2971150988885,16.3492073719217,17.0059869083108,17.1187275312662,16.9200972364303,17.1965052323089,15.0682735264596,14.9469126694554,15.7895915839863,14.8087623309746,15.0094330264367,14.7318012898384,14.8451299751454,13.4588356140255,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3492073719217,15.7025802069967,15.9672727612237,16.1950566920944,16.8974205277593,15.9788335836248,16.3727378693319,16.2665156560766,16.1857542994321,15.2018049190842,14.6909792953182,15.5382771557054,16.6834094600084,16.9019971947867,17.6613937608879,15.4447510976946,15.7324331701463,15.4249484703984,15.2505950832536,15.0392859895864,14.1519827945855,15.4447510976946,14.6909792953182,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8033849061186,14.2209756660724,14.7318012898384,15.9317660727668,16.3727378693319,16.0668023565708,16.1080453151048,15.7614207070196,16.2836100894359,15.5733684755166,14.5574479026937,13.9978321147582,15.9555767214605,16.1280459818115,16.2224556662826,15.5382771557054,14.9141228466324,15.3415668614593,15.2018049190842,13.7101500423064,14.28551418721,13.9978321147582,13.7101500423064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5904629088759,15.4832173785224,13.5923670066501,15.2018049190842,15.9196447122345,15.5382771557054,16.1180956509583,15.8567308868239,14.0778748224318,16.3004172077523,15.0682735264596,14.0778748224318,14.3461388090264,15.8304135785065,16.0455249581235,15.9672727612237,15.9437422638135,14.2209756660724,15.5019095115345,13.8155105579643,13.7101500423064,11.5129254649702,12.6115377536383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,12.6115377536383,12.6115377536383,14.8087623309746,14.5574479026937,15.3415668614593,16.0772736564381,15.5904629088759,15.0964444034263,15.7176180843612,15.1505116246966,11.5129254649702,13.9108207377686,14.4573644441367,15.7756053420115,14.7710220029917,15.6237993291435,13.1223633774043,15.1238433776145,14.0778748224318,12.2060726455302,11.5129254649702,13.1223633774043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9902622794484,14.0778748224318,12.6115377536383,13.4588356140255,12.8992198260901,14.3461388090264,15.5019095115345,15.0392859895864,14.9469126694554,15.4249484703984,14.0778748224318,14.2209756660724,12.2060726455302,14.5574479026937,15.0964444034263,12.6115377536383,15.0682735264596,11.5129254649702,13.8155105579643,12.8992198260901,13.7101500423064,12.8992198260901,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2060726455302,16.0015618347024,NA,14.4032972228664,14.1519827945855,13.9978321147582,15.1238433776145,14.6909792953182,14.6909792953182,15.7324331701463,14.8087623309746,12.8992198260901,13.5923670066501,12.8992198260901,12.6115377536383,12.6115377536383,12.8992198260901,-Inf,13.3046849341983,-Inf,12.2060726455302,14.1519827945855,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2971150988885,15.8949520996441,14.1519827945855,12.6115377536383,15.1505116246966,-Inf,14.5086577385242,14.1519827945855,15.0392859895864,14.7318012898384,14.5574479026937,13.5923670066501,13.5923670066501,14.6909792953182,13.8155105579643,12.2060726455302,12.6115377536383,12.2060726455302,-Inf,12.2060726455302,12.2060726455302,13.1223633774043,12.6115377536383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4447510976946,15.2018049190842,15.7176180843612,15.5733684755166,14.9141228466324,15.1238433776145,15.9902622794484,15.5202586502027,13.4588356140255,-Inf,13.9108207377686,15.6237993291435,13.9108207377686,13.1223633774043,-Inf,11.5129254649702,11.5129254649702,-Inf,14.9469126694554,12.6115377536383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
